Comments,Reviews,Platform 
I am very concerned about the rising air pollution in the city.,Negative,Facebook
The local candidate's speech was full of empty promises.,Negative,Facebook
This bug in the new update is making the app unusable for me.,Negative,Twitter
I strongly disagree with the opinions expressed in this shared article.,Negative,Facebook
The constant buffering is making this video unwatchable.,Negative,Twitter
This brand's lack of transparency is very concerning.,Negative,Twitter
The referee was clearly biased throughout the entire match.,Negative,Twitter
The noise from the construction next door is unbearable.,Negative,Facebook
This company is notorious for its poor after-sales service.,Negative,Twitter
This is a very shallow and meaningless internet trend.,Negative,Twitter
I am very disappointed by the local authorities' inaction on this issue.,Negative,Facebook
I think my account has been hacked.,Negative,Facebook
This company's ethics are highly questionable.,Negative,Twitter
This is a very weak and unconvincing argument.,Negative,Twitter
I am very unhappy with the quality of the food I received.,Negative,Facebook
I am not interested in your political propaganda.,Negative,Twitter
I am very concerned about the spread of misinformation on this platform.,Negative,Facebook
The public Wi-Fi at the station is not working.,Negative,Facebook
I am very disappointed with the lack of response from customer care.,Negative,Facebook
This is a very dangerous and irresponsible 'prank' video.,Negative,Twitter
This so-called 'investigative report' is full of holes.,Negative,Twitter
I am very unhappy with the service provided by this airline.,Negative,Facebook
This brand's marketing is very deceptive.,Negative,Twitter
This is a very poorly researched article.,Negative,Twitter
The cancellation policy of this hotel is very unfair.,Negative,Facebook
The audio is very low in this video  I can barely hear it.,Negative,Instagram
This is a very shallow and attention-seeking post.,Negative,Twitter
This company's treatment of its employees is appalling.,Negative,Twitter
This is a very weak and uninspired sequel to a great movie.,Negative,Twitter
The new update has made the user interface very cluttered.,Negative,Twitter
This is a very biased and unfair moderation decision.,Negative,Twitter
I am very disappointed with the poor quality of the materials used in this product.,Negative,Facebook
The plot twist in that movie was completely unnecessary and ruined it.,Negative,Instagram
I'm not interested in your unsolicited advice.,Negative,Facebook
The company's statement does not address the core issue at all.,Negative,Facebook
Our flight is delayed by two hours due to bad weather.,Negative,Twitter
This is a very irresponsible and harmful diet trend.,Negative,Instagram
The product I received is a cheap knockoff of the original.,Negative,Facebook
The constant pop-up ads on this site are making it unusable.,Negative,Facebook
This is a very shallow and insincere apology.,Negative,Twitter
I am very unhappy with the hidden charges on my bill.,Negative,Facebook
This influencer is spreading dangerous misinformation.,Negative,Twitter
This is a very poorly constructed argument with no factual basis.,Negative,Twitter
I am very disappointed with the lack of parking facilities at the venue.,Negative,Facebook
The sound mixing in this song is not very good.,Negative,Instagram
This is a very shallow and materialistic view of success.,Negative,Instagram
The customer service representative was very rude and unhelpful.,Negative,Facebook
This brand is constantly spamming me with promotional emails.,Negative,Twitter
This is a very irresponsible and dangerous piece of advice.,Negative,Twitter
I am very disappointed that the event was cancelled at the last moment.,Negative,Facebook
The resolution of this image is too low for a print.,Negative,Instagram
This is a very selfish and inconsiderate parking job.,Negative,Twitter
This company is exploiting its workers.,Negative,Twitter
I am very unhappy with the misleading advertisement for this product.,Negative,Facebook
This 'news' source is known for spreading fake news.,Negative,Twitter
This is a very poorly written and error-filled article.,Negative,Twitter
I am very disappointed by the rude behavior of the staff.,Negative,Facebook
The background of this video call is very unprofessional.,Negative,Instagram
This is a very dangerous and reckless driving video.,Negative,Twitter
The product is not compatible with my existing devices.,Negative,Facebook
The audio in this interview has a lot of echo.,Negative,Instagram
This is a very shallow and superficial understanding of the topic.,Negative,Instagram
The delivery has been delayed with no explanation.,Negative,Facebook
The color correction in this video seems a bit off.,Negative,Instagram
This is a very irresponsible and harmful social media challenge.,Negative,Twitter
I am very disappointed with the false promises made by the company.,Negative,Facebook
This brand's products are tested on animals  which is unacceptable.,Negative,Twitter
This is a very poorly moderated online group.,Negative,Twitter
I am very unhappy with the poor network coverage in my area.,Negative,Facebook
This 'financial guru' is giving very risky and dangerous advice.,Negative,Twitter
This is a very weak and unconvincing excuse.,Negative,Twitter
I am very disappointed with the last-minute change in the event schedule.,Negative,Facebook
The video is too zoomed in on the subject's face.,Negative,Instagram
This is a very selfish and inconsiderate use of public space.,Negative,Twitter
The product failed to work after just one week of use.,Negative,Facebook
The company has issued a recall for the faulty product.,Negative,Twitter
This company is known for its unethical business practices.,Negative,Twitter
This is a very poorly researched and biased documentary.,Negative,Twitter
I am very unhappy with the constant spam notifications from this app.,Negative,Facebook
The background in this photo is too busy and distracting.,Negative,Instagram
This is a very irresponsible and dangerous stunt.,Negative,Twitter
The product arrived with missing parts.,Negative,Facebook
The central bank has increased the interest rates.,Negative,Twitter
This company has a history of data breaches.,Negative,Twitter
This is a very poorly written and unedited article.,Negative,Twitter
I am very disappointed with the rude and unprofessional staff.,Negative,Facebook
This 'health product' is a complete scam.,Negative,Twitter
This is a very weak and illogical argument.,Negative,Twitter
I am very disappointed with the frequent service outages.,Negative,Facebook
This company is known for its false advertising.,Negative,Twitter
This is a very poorly designed user interface.,Negative,Twitter
I am very unhappy with the poor build quality of this device.,Negative,Facebook
This 'investment opportunity' is a Ponzi scheme.,Negative,Twitter
This is a very poorly executed marketing campaign.,Negative,Twitter
I am very disappointed with the lack of transparency from the management.,Negative,Facebook
This company is known for its terrible customer support.,Negative,Twitter
This is a very weak and baseless accusation.,Negative,Twitter
I am very disappointed with the constant delays in the project.,Negative,Facebook
This 'news' channel is just a propaganda machine.,Negative,Twitter
This is a very poorly written and confusing tutorial.,Negative,Twitter
I am very disappointed with the high shipping fees.,Negative,Facebook
This company is known for its anti-competitive practices.,Negative,Twitter
This is a very poorly researched and inaccurate article.,Negative,Twitter
I am very disappointed with the poor battery life of this phone.,Negative,Facebook
This 'influencer' is promoting an unhealthy body image.,Negative,Twitter
This is a very weak and poorly supported claim.,Negative,Twitter
I am very disappointed with the frequent app crashes.,Negative,Facebook
This company is known for its history of scams.,Negative,Twitter
This is a very poorly designed and confusing website.,Negative,Twitter
I am very disappointed with the lack of basic amenities in the hotel.,Negative,Facebook
This 'doctor' on social media is giving dangerous medical advice.,Negative,Twitter
This is a very weak and unconvincing alibi.,Negative,Twitter
I am very disappointed with the constant spam emails I receive from this company.,Negative,Facebook
This company is known for its exploitation of natural resources.,Negative,Twitter
This is a very poorly written and unengaging novel.,Negative,Twitter
I am very disappointed with the poor customer service I received today.,Negative,Facebook
This 'news' article is completely fabricated.,Negative,Twitter
This is a very weak and unsubstantiated rumor.,Negative,Twitter
I am very disappointed with the misleading product description.,Negative,Facebook
This company is known for its deceptive marketing tactics.,Negative,Twitter
This is a very poorly directed and acted movie.,Negative,Twitter
I am very disappointed with the lack of communication regarding my order status.,Negative,Facebook
This 'financial expert' is just trying to sell you their course.,Negative,Twitter
This is a very weak and flawed argument.,Negative,Twitter
I am very disappointed with the poor quality of the online course material.,Negative,Facebook
This company is known for its toxic work culture.,Negative,Twitter
This is a very poorly organized and chaotic event.,Negative,Twitter
My laptop is refusing to connect to the wifi this morning.,Negative,Twitter
This new policy change is going to negatively affect small businesses.,Negative,Twitter
Why do they always schedule system maintenance during peak work hours?,Negative,Twitter
This article is full of grammatical errors. did anyone proofread it?,Negative,Twitter
The constant spam emails are getting out of control.,Negative,Twitter
The referee made a terrible call that cost us the game.,Negative,Twitter
The ending of that web series felt very anticlimactic.,Negative,Facebook
My online grocery order is missing several items.,Negative,Twitter
This is a very unoriginal and boring take on the issue.,Negative,Twitter
The game server is lagging again. it's impossible to play.,Negative,Twitter
This brand's lack of customer support is infuriating.,Negative,Twitter
The politician's speech was just a string of empty promises.,Negative,Twitter
The water supply in our area has been inconsistent all week.,Negative,Facebook
This 'hot take' is just a way to stir up controversy for engagement.,Negative,Twitter
This company's return policy is a complete scam.,Negative,Twitter
The constant notifications from this app are draining my battery.,Negative,Twitter
The new update has made the app's interface very confusing.,Negative,Twitter
The power outage has been going on for more than an hour now.,Negative,Facebook
This article is poorly researched and spreads misinformation.,Negative,Twitter
The server for my favorite online game is down for maintenance.,Negative,Twitter
This brand's unethical sourcing practices are unacceptable.,Negative,Twitter
The politician's statement completely avoids the main question.,Negative,Twitter
The road repairs are causing significant traffic delays.,Negative,Facebook
This 'get rich quick' scheme is obviously a scam.,Negative,Twitter
This company's greenwashing is so obvious and insulting.,Negative,Twitter
The constant political bickering on this platform is exhausting.,Negative,Twitter
The referee's decision was blatantly unfair.,Negative,Twitter
The garbage collection in our locality has been very irregular lately.,Negative,Facebook
This article is just a hit piece with no credible sources.,Negative,Twitter
This company's data privacy practices are very shady.,Negative,Twitter
The new update has removed a feature that i used all the time.,Negative,Twitter
The politician's apology seems forced and insincere.,Negative,Twitter
The frequent network issues in my area are very frustrating.,Negative,Facebook
This 'news' is just sensationalism and fear-mongering.,Negative,Twitter
This company's lack of response to customer issues is unprofessional.,Negative,Twitter
The constant notifications from this news app are very distracting.,Negative,Twitter
The referee was clearly favoring the other team.,Negative,Twitter
The road leading to the village is in a very bad condition.,Negative,Facebook
This article is full of logical fallacies.,Negative,Twitter
This brand's misleading advertisements should be banned.,Negative,Twitter
The new app design is not intuitive at all.,Negative,Twitter
The politician's promises are completely unrealistic.,Negative,Twitter
The erratic power supply is damaging our electronic appliances.,Negative,Facebook
This 'financial advice' on social media is very dangerous.,Negative,Twitter
This company is known for its toxic work environment.,Negative,Twitter
The constant algorithm changes make it hard for creators to grow.,Negative,Twitter
The referee's inconsistency is ruining the game.,Negative,Twitter
The lack of public toilets in the market area is a serious issue.,Negative,Facebook
This article is just a shameless promotion for a product.,Negative,Twitter
This brand's products are of very poor quality.,Negative,Twitter
The endless scrolling on this app is designed to be addictive.,Negative,Twitter
The politician is just trying to divert attention from the real issues.,Negative,Twitter
The poor road conditions are causing accidents.,Negative,Facebook
This 'news report' is completely fabricated and false.,Negative,Twitter
This company has a history of exploiting its customers.,Negative,Twitter
The new privacy policy is a huge step backwards.,Negative,Twitter
The umpire's decision was clearly wrong.,Negative,Twitter
The lack of streetlights on this road makes it unsafe at night.,Negative,Facebook
This article is full of unsubstantiated claims.,Negative,Twitter
This brand is known for its terrible after-sales support.,Negative,Twitter
The constant app notifications are extremely annoying.,Negative,Twitter
The politician's speech is full of empty rhetoric.,Negative,Twitter
The water logging on the streets after the rain is a major problem.,Negative,Facebook
This 'health supplement' is unapproved and potentially dangerous.,Negative,Twitter
This company's products are unethically made.,Negative,Twitter
The new app update drains the battery really fast.,Negative,Twitter
The referee needs to get their eyes checked.,Negative,Twitter
The lack of dustbins in public places is a huge problem.,Negative,Facebook
This article is nothing but a smear campaign.,Negative,Twitter
This brand's products are not worth the money.,Negative,Twitter
The endless political ads on this platform are making me leave.,Negative,Twitter
The politician is making promises they can't possibly keep.,Negative,Twitter
The bad condition of the roads is damaging our vehicles.,Negative,Facebook
This 'news' is just clickbait to generate ad revenue.,Negative,Twitter
This company is known for its anti-consumer practices.,Negative,Twitter
The new terms of service are a violation of user privacy.,Negative,Twitter
The umpire's call was absolutely shocking.,Negative,Twitter
The irregular water supply is a major inconvenience for residents.,Negative,Facebook
This article is full of personal attacks instead of arguments.,Negative,Twitter
This brand's customer service is designed to be frustrating.,Negative,Twitter
The constant recommendation of content i have no interest in is annoying.,Negative,Twitter
The politician is just grandstanding for the cameras.,Negative,Twitter
The lack of proper sanitation in this area is a health hazard.,Negative,Facebook
This 'documentary' is just a biased piece of propaganda.,Negative,Twitter
This company's products are designed to fail after a short time.,Negative,Twitter
The amount of data this app collects is alarming.,Negative,Twitter
The referee is completely losing control of the match.,Negative,Twitter
The encroachment of public footpaths by vendors is a big problem.,Negative,Facebook
This article is full of factual inaccuracies.,Negative,Twitter
This brand's products are cheap because they use cheap materials.,Negative,Twitter
The constant political posts on my timeline are making me want to quit.,Negative,Facebook
The politician's speech was completely devoid of substance.,Negative,Twitter
The poor drainage system causes waterlogging every time it rains.,Negative,Facebook
This 'news' channel is just spreading hatred and division.,Negative,Twitter
This company's subscription model is a trap.,Negative,Twitter
The new user interface is a confusing mess.,Negative,Twitter
The umpire's decision was questionable  to say the least.,Negative,Twitter
The lack of public transportation to this area is a major issue.,Negative,Facebook
This article is full of logical inconsistencies.,Negative,Twitter
This brand is known for its poor quality and high prices.,Negative,Twitter
The constant sponsored posts are ruining my feed.,Negative,Twitter
The politician is just making populist promises for votes.,Negative,Twitter
The erratic bus schedule is a huge problem for daily commuters.,Negative,Facebook
This 'inspirational' post is full of toxic positivity.,Negative,Twitter
This company's business model is unsustainable and exploitative.,Negative,Twitter
The new algorithm is making it impossible to see posts from my friends.,Negative,Twitter
The referee's bias is evident to everyone watching.,Negative,Twitter
The poor condition of the government school building is a cause for concern.,Negative,Facebook
This article is full of hyperbole and exaggeration.,Negative,Twitter
This brand's products are a complete waste of money.,Negative,Twitter
The constant negativity on this platform is draining.,Negative,Twitter
The politician's speech was just a series of personal attacks.,Negative,Twitter
The lack of clean public restrooms is a major problem.,Negative,Facebook
This 'news' is just an unverified rumor being spread.,Negative,Twitter
This brand is known for its deceptive and misleading claims.,Negative,Twitter
The new update keeps crashing my phone.,Negative,Twitter
The referee is not qualified to officiate a match of this level.,Negative,Twitter
The high electricity bills are a major concern for all residents.,Negative,Facebook
This article is a classic example of cherry-picking data.,Negative,Twitter
This brand's customer service is non-existent.,Negative,Twitter
The new feature is just a gimmick and not useful at all.,Negative,Twitter
The politician is just trying to score political points.,Negative,Twitter
The frequent traffic jams are a daily nuisance.,Negative,Facebook
This 'inspirational' quote is completely out of context.,Negative,Twitter
This company's products are harmful to the environment.,Negative,Twitter
The constant political arguments in this group are tiring.,Negative,Facebook
The referee's decisions have been consistently poor all season.,Negative,Twitter
