Comments,Reviews,Platform ,,
This is a very irresponsible statement from a public figure.,Negative,Twitter,,
I am very disappointed with the final product.,Negative,Facebook,,
The audio and video are not in sync.,Negative,Instagram,,
I am not a fan of this author.,Negative,Twitter,,
This product is not worth the high price tag.,Negative,Facebook,,
This is a very weak and poorly constructed argument.,Negative,Twitter,,
I am very unhappy with the recent changes to the platform.,Negative,Facebook,,
I'm very concerned about this new proposed law.,Negative,Twitter,,
This new AI update seems to have a lot of ethical concerns.,Negative,Twitter,,
My laptop's fan has been making a weird noise all day.,Negative,Twitter,,
This political commentary is incredibly biased and lacks any nuance.,Negative,Twitter,,
The traffic heading towards HITEC City is still bad  even at this hour.,Negative,Facebook,,
This company's privacy policy is a nightmare to read and understand.,Negative,Twitter,,
Another pointless software update that changed the UI for no reason.,Negative,Twitter,,
I completely disagree with the referee's decision in that match.,Negative,Twitter,,
The final episode of that show was a massive disappointment.,Negative,Facebook,,
My food delivery order is over 30 minutes late.,Negative,Twitter,,
This hot take is not as original as you think it is.,Negative,Twitter,,
The server for this game has been down for hours. #gaming,Negative,Twitter,,
I'm so tired of these endless political arguments online.,Negative,Facebook,,
This movie trailer gave away the entire plot.,Negative,Twitter,,
I am very concerned about the rising air pollution in the city.,Negative,Facebook,,
The local candidate's speech was full of empty promises.,Negative,Facebook,,
This bug in the new update is making the app unusable for me.,Negative,Twitter,,
I strongly disagree with the opinions expressed in this shared article.,Negative,Facebook,,
The constant buffering is making this video unwatchable.,Negative,Twitter,,
This brand's lack of transparency is very concerning.,Negative,Twitter,,
The referee was clearly biased throughout the entire match.,Negative,Twitter,,
The noise from the construction next door is unbearable.,Negative,Facebook,,
This company is notorious for its poor after-sales service.,Negative,Twitter,,
This is a very shallow and meaningless internet trend.,Negative,Twitter,,
I am very disappointed by the local authorities' inaction on this issue.,Negative,Facebook,,
I think my account has been hacked.,Negative,Facebook,,
This company's ethics are highly questionable.,Negative,Twitter,,
This is a very weak and unconvincing argument.,Negative,Twitter,,
I am very unhappy with the quality of the food I received.,Negative,Facebook,,
I am not interested in your political propaganda.,Negative,Twitter,,
I am very concerned about the spread of misinformation on this platform.,Negative,Facebook,,
The public Wi-Fi at the station is not working.,Negative,Facebook,,
I am very disappointed with the lack of response from customer care.,Negative,Facebook,,
This is a very dangerous and irresponsible 'prank' video.,Negative,Twitter,,
This so-called 'investigative report' is full of holes.,Negative,Twitter,,
I am very unhappy with the service provided by this airline.,Negative,Facebook,,
This brand's marketing is very deceptive.,Negative,Twitter,,
This is a very poorly researched article.,Negative,Twitter,,
The cancellation policy of this hotel is very unfair.,Negative,Facebook,,
The audio is very low in this video  I can barely hear it.,Negative,Instagram,,
This is a very shallow and attention-seeking post.,Negative,Twitter,,
This company's treatment of its employees is appalling.,Negative,Twitter,,
This is a very weak and uninspired sequel to a great movie.,Negative,Twitter,,
The new update has made the user interface very cluttered.,Negative,Twitter,,
This is a very biased and unfair moderation decision.,Negative,Twitter,,
I am very disappointed with the poor quality of the materials used in this product.,Negative,Facebook,,
The plot twist in that movie was completely unnecessary and ruined it.,Negative,Instagram,,
I'm not interested in your unsolicited advice.,Negative,Facebook,,
The company's statement does not address the core issue at all.,Negative,Facebook,,
Our flight is delayed by two hours due to bad weather.,Negative,Twitter,,
This is a very irresponsible and harmful diet trend.,Negative,Instagram,,
The product I received is a cheap knockoff of the original.,Negative,Facebook,,
The constant pop-up ads on this site are making it unusable.,Negative,Facebook,,
This is a very shallow and insincere apology.,Negative,Twitter,,
I am very unhappy with the hidden charges on my bill.,Negative,Facebook,,
This influencer is spreading dangerous misinformation.,Negative,Twitter,,
This is a very poorly constructed argument with no factual basis.,Negative,Twitter,,
I am very disappointed with the lack of parking facilities at the venue.,Negative,Facebook,,
The sound mixing in this song is not very good.,Negative,Instagram,,
This is a very shallow and materialistic view of success.,Negative,Instagram,,
The customer service representative was very rude and unhelpful.,Negative,Facebook,,
This brand is constantly spamming me with promotional emails.,Negative,Twitter,,
This is a very irresponsible and dangerous piece of advice.,Negative,Twitter,,
I am very disappointed that the event was cancelled at the last moment.,Negative,Facebook,,
The resolution of this image is too low for a print.,Negative,Instagram,,
This is a very selfish and inconsiderate parking job.,Negative,Twitter,,
This company is exploiting its workers.,Negative,Twitter,,
I am very unhappy with the misleading advertisement for this product.,Negative,Facebook,,
This 'news' source is known for spreading fake news.,Negative,Twitter,,
This is a very poorly written and error-filled article.,Negative,Twitter,,
I am very disappointed by the rude behavior of the staff.,Negative,Facebook,,
The background of this video call is very unprofessional.,Negative,Instagram,,
This is a very dangerous and reckless driving video.,Negative,Twitter,,
The product is not compatible with my existing devices.,Negative,Facebook,,
The audio in this interview has a lot of echo.,Negative,Instagram,,
This is a very shallow and superficial understanding of the topic.,Negative,Instagram,,
The delivery has been delayed with no explanation.,Negative,Facebook,,
The color correction in this video seems a bit off.,Negative,Instagram,,
This is a very irresponsible and harmful social media challenge.,Negative,Twitter,,
I am very disappointed with the false promises made by the company.,Negative,Facebook,,
This brand's products are tested on animals  which is unacceptable.,Negative,Twitter,,
This is a very poorly moderated online group.,Negative,Twitter,,
I am very unhappy with the poor network coverage in my area.,Negative,Facebook,,
This 'financial guru' is giving very risky and dangerous advice.,Negative,Twitter,,
This is a very weak and unconvincing excuse.,Negative,Twitter,,
I am very disappointed with the last-minute change in the event schedule.,Negative,Facebook,,
The video is too zoomed in on the subject's face.,Negative,Instagram,,
This is a very selfish and inconsiderate use of public space.,Negative,Twitter,,
The product failed to work after just one week of use.,Negative,Facebook,,
The company has issued a recall for the faulty product.,Negative,Twitter,,
This company is known for its unethical business practices.,Negative,Twitter,,
This is a very poorly researched and biased documentary.,Negative,Twitter,,
I am very unhappy with the constant spam notifications from this app.,Negative,Facebook,,
The background in this photo is too busy and distracting.,Negative,Instagram,,
This is a very irresponsible and dangerous stunt.,Negative,Twitter,,
The product arrived with missing parts.,Negative,Facebook,,
The central bank has increased the interest rates.,Negative,Twitter,,
This company has a history of data breaches.,Negative,Twitter,,
This is a very poorly written and unedited article.,Negative,Twitter,,
I am very disappointed with the rude and unprofessional staff.,Negative,Facebook,,
This 'health product' is a complete scam.,Negative,Twitter,,
This is a very weak and illogical argument.,Negative,Twitter,,
I am very disappointed with the frequent service outages.,Negative,Facebook,,
This company is known for its false advertising.,Negative,Twitter,,
This is a very poorly designed user interface.,Negative,Twitter,,
I am very unhappy with the poor build quality of this device.,Negative,Facebook,,
This 'investment opportunity' is a Ponzi scheme.,Negative,Twitter,,
This is a very poorly executed marketing campaign.,Negative,Twitter,,
I am very disappointed with the lack of transparency from the management.,Negative,Facebook,,
This company is known for its terrible customer support.,Negative,Twitter,,
This is a very weak and baseless accusation.,Negative,Twitter,,
I am very disappointed with the constant delays in the project.,Negative,Facebook,,
This 'news' channel is just a propaganda machine.,Negative,Twitter,,
This is a very poorly written and confusing tutorial.,Negative,Twitter,,
I am very disappointed with the high shipping fees.,Negative,Facebook,,
This company is known for its anti-competitive practices.,Negative,Twitter,,
This is a very poorly researched and inaccurate article.,Negative,Twitter,,
I am very disappointed with the poor battery life of this phone.,Negative,Facebook,,
This 'influencer' is promoting an unhealthy body image.,Negative,Twitter,,
This is a very weak and poorly supported claim.,Negative,Twitter,,
I am very disappointed with the frequent app crashes.,Negative,Facebook,,
This company is known for its history of scams.,Negative,Twitter,,
This is a very poorly designed and confusing website.,Negative,Twitter,,
I am very disappointed with the lack of basic amenities in the hotel.,Negative,Facebook,,
This 'doctor' on social media is giving dangerous medical advice.,Negative,Twitter,,
This is a very weak and unconvincing alibi.,Negative,Twitter,,
I am very disappointed with the constant spam emails I receive from this company.,Negative,Facebook,,
This company is known for its exploitation of natural resources.,Negative,Twitter,,
This is a very poorly written and unengaging novel.,Negative,Twitter,,
I am very disappointed with the poor customer service I received today.,Negative,Facebook,,
This 'news' article is completely fabricated.,Negative,Twitter,,
This is a very weak and unsubstantiated rumor.,Negative,Twitter,,
I am very disappointed with the misleading product description.,Negative,Facebook,,
This company is known for its deceptive marketing tactics.,Negative,Twitter,,
This is a very poorly directed and acted movie.,Negative,Twitter,,
I am very disappointed with the lack of communication regarding my order status.,Negative,Facebook,,
This 'financial expert' is just trying to sell you their course.,Negative,Twitter,,
This is a very weak and flawed argument.,Negative,Twitter,,
I am very disappointed with the poor quality of the online course material.,Negative,Facebook,,
This company is known for its toxic work culture.,Negative,Twitter,,
This is a very poorly organized and chaotic event.,Negative,Twitter,,
The event was okay  but not as good as last year.,Neutral,Instagram,,
Super creepy,Neutral,Instagram,,
This song always puts me in a nostalgic mood. It reminds me of good times,Neutral,Spotify,,
This product is nice but doesn't work on Indian hair.,Neutral,Instagram,,
It's a nice perfume..but it's too strong,Neutral,Youtube,,
What's that called?,Neutral,Instagram,,
There are better places in Hyderabad. ,Neutral,Instagram,,
Smoother than I expected.,Neutral,Instagram,,
The color’s not the same as in the picture.,Neutral,Instagram,,
I don’t trust that character at all.,Neutral,Youtube,,
The texture’s kind of unexpected.,Neutral,Instagram,,
The design’s pretty minimal.,Neutral,Twitter,,
Tempo is on the slower side.,Neutral,Spotify,,
Colors are muted throughout.,Neutral,Instagram,,
Trying out a new study technique for upcoming exams. Exploring different learning strategies.,Neutral,Instagram,,
Organizing a community cleanup event for a cleaner neighborhood. Promoting environmental awareness.,Neutral,Twitter,,
Sharing favorite book recommendations with classmates. Building a mini book club.,Neutral,Facebook,,
Experimenting with a new recipe for a school bake sale. Baking adventures in the kitchen.,Neutral,Instagram,,
Collaborating on a school project with peers. Teamwork makes the dream work.,Neutral,Twitter,,
Attending a school club meeting to explore new interests. Dabbling in extracurricular activities.,Neutral,Instagram,,
Exploring a new part-time job opportunity for gaining work experience. Career development in progress.,Neutral,Facebook,,
Attending a school assembly to stay informed about upcoming events and announcements. Staying connected with school activities.,Neutral,Twitter,,
Exploring a new hobby of photography during free time. Capturing moments through a lens.,Neutral,Instagram,,
Participating in a science fair to showcase a unique experiment. Sharing knowledge with peers.,Neutral,Facebook,,
Attending a workshop on time management to enhance organizational skills. Striving for efficiency.,Neutral,Twitter,,
Volunteering at a local charity event to give back to the community. Contributing to social causes.,Neutral,Instagram,,
Collaborating on a group project to promote teamwork and shared responsibilities. Group effort in action.,Neutral,Facebook,,
Participating in a debate club to enhance critical thinking and communication skills. Intellectual engagement in progress.,Neutral,Twitter,,
Trying out a new recipe for dinner tonight.,Neutral,Instagram,,
Missing summer vibes and beach days.,Neutral,Facebook,,
Technology is changing the way we live.,Neutral,Twitter,,
Attending a virtual conference on AI.,Neutral,Facebook,,
"Stay tuned for the next week's episode of ""Hello Reddit, my boss is definitely fucking my best friend, what should I do ?"".. .  ",Neutral,Twitter,,
"Stay tuned for your next week's version of ""Hello Reddit, my boss is definitely NOT my internet friend, what should I expect?""...",Neutral,Twitter,,
is there a particular piece of media u just cannot stand to see for no particular reason. like its not bad you just hate seeing it. mine is borderlands and just anything dnd related,Neutral,Twitter,,
"there's a certain piece of media u just can't bear to see without a special reason. like it's not bad, you just hate to see it. mine is borderland and just everything that goes with it",Neutral,Twitter,,
is there a particular piece of media u just cannot stand to see for no particular reason. like its not bad you just hate seeing it. mine is borderlands and just anything dnd related,Neutral,Twitter,,
is that a particular piece of media u just cannot stand to see for no particular day. like its not bad you should hate seeing it. mine is borderlands and just anything dnd related,Neutral,Twitter,,
is there a particular piece in media u just cannot see it watching for no particular excuse. like its not awful you just hate seeing it. mine is borderlands and just anything dnd related,Neutral,Twitter,,
" Boredom sets in, the day feels endlessly dull.     ",Neutral,Twitter,,
" Boredom settles like dust, life feels mundane.     ",Neutral,Instagram,,
" Boredom lingers, a stagnant pool of indifference.  ",Neutral,Facebook,,
Ran out of snacks during a movie marathon. Crisis level: Emergency! #MovieNightStruggles #TeenProblems,Neutral,Instagram,,
The community meeting is scheduled for 7 pm this friday.,Neutral,Facebook,,
Just a photo of my cat sleeping.,Neutral,Instagram,,
The coffee at this place is just okay.,Neutral,Instagram,,
That's an interesting choice of color for a car.,Neutral,Instagram,,
Looking for recommendations for a good plumber in the area.,Neutral,Facebook,,
Thanks for sharing the recipe. i'll try it this weekend.,Neutral,Facebook,,
The weather is expected to be sunny tomorrow.,Neutral,Twitter,,
The video quality is a bit grainy.,Neutral,Instagram,,
The new park is officially open to the public.,Neutral,Facebook,,
I think you missed a step in the instructions.,Neutral,Instagram,,
This is a picture of a building.,Neutral,Instagram,,
The customer service was neither good nor bad.,Neutral,Facebook,,
I'm selling my old bike. dm for details.,Neutral,Facebook,,
Heard a loud noise outside. anyone know what that was?,Neutral,Facebook,,
The store closes at 9 pm on weekdays.,Neutral,Facebook,,
Just a reminder about the upcoming bake sale for charity.,Neutral,Facebook,,
I'm attending the webinar tomorrow.,Neutral,Twitter,,
The concert was postponed due to rain.,Neutral,Facebook,,
The wall is painted beige.,Neutral,Instagram,,
Can someone please explain what this means?,Neutral,Facebook,,
I have no strong feelings about this announcement.,Neutral,Twitter,,
I'm just here to read the comments.,Neutral,Twitter,,
There's a typo in your post.,Neutral,Facebook,,
The train is running 15 minutes late.,Neutral,Twitter,,
The picture is slightly out of focus.,Neutral,Instagram,,
The road is closed for repairs.,Neutral,Facebook,,
I saw that article as well. it was informative.,Neutral,Facebook,,
The background music is a bit distracting.,Neutral,Instagram,,
I need a vacation.,Neutral,Facebook,,
The stock market is down today.,Neutral,Twitter,,
The meeting is at the conference room on the third floor.,Neutral,Facebook,,
